1	57	58
2	95	74
3	34	12
4	31	68
5	52	67
6	30	4
7	15	75
8	75	52
9	75	30
10	65	28
11	55	63
12	41	61
13	36	20
14	72	24
15	16	10
16	85	49
17	86	90
18	75	90
19	32	20
20	5	92
21	16	35
22	25	66
23	72	4
24	68	33
25	61	35
26	37	78
27	48	46
28	81	31
29	23	90
30	35	66
31	6	33
32	85	9
33	64	37
34	22	13
35	69	43
36	80	83
37	76	13
38	88	94
39	25	95
40	62	45
41	70	70
42	45	42
43	35	9
44	75	41
45	35	91
46	56	30
47	27	92
48	92	90
49	25	58
50	44	52
51	5	80
52	17	33
53	90	5
54	25	74
55	58	47
56	95	2
57	87	72
58	68	88
59	30	28
60	9	9
61	32	95
62	47	71
63	50	43
64	56	43
65	56	25
66	47	25
67	80	64
68	10	96
69	12	33
70	63	70
71	39	9
72	81	89
73	43	14
74	17	25
75	80	55
76	45	61
77	92	40
78	78	22
79	89	45
80	51	51
81	40	90
82	65	49
83	76	7
84	30	98
85	26	34
86	28	99
87	25	8
88	29	63
89	40	83
90	4	11
91	74	44
92	41	25
93	39	21
94	95	51
95	72	76
96	79	8
97	78	44
98	10	80
99	8	89
100	15	95
101	45	90
102	70	82
103	90	78
104	84	78
105	20	70
106	40	71
107	55	70
108	5	95
109	73	18
110	22	28
111	17	80
112	50	10
113	55	20
114	87	22
115	72	98
116	55	79
117	7	2
118	85	20
119	35	50
120	10	68





